titre;auteur;genre;isbn;editeur;date_publication;nb_pages
La vie d'un héros;Pierre-Jean REMY;;;Albin Michel;21/02/2018;
La vie sauvage;June VENDALL CLARK;;;Presse Pocket;28/02/2018;
La vie trop brève d'Edwin Mulhouse;Steven MILHAUSER;;;Le Livre de Poche;09/02/2018;
Lachons les chiens;Brady UDALL;;;43374;28/02/2018;
Lames de fond;Tim LOTT;;;43374;23/10/2017;
L'ange exilé;Thomas WOLFE;;;Le Livre de Poche;28/02/2018;
L'appel des morts;Ian RANKIN;;;Le Livre de Poche;21/02/2018;
L'arbre des pleurs;Naseem RAKHA;;;Pocket;16/02/2018;
L'art de la fugue;Stephen McCAULEY;;;43374;09/02/2018;
L'avocat indien;James WELCH;;;43374;28/02/2018;
Le bout du compte;Françoise Lefèvre;;;J'ai Lu;22/10/2017;
Le capital;Stéphane OSMONT;;;Le Livre de Poche;09/02/2018;
Le complot des anges;Paul-Loup SULITZER;;;Le Livre de Poche;28/02/2018;
Le Cri du Kalahari;Mark et Delia OWENS;;;Points;01/01/1986;302
Le déclin de l'empire Whiting;Richard RUSSO;;;43374;21/02/2018;
Le dernier parrain;Mario PUZO;;;Le Livre de Poche;16/02/2018;
Le destin miraculeux d'Edgar Mint;Brady UDALL;;;43374;28/02/2018;
Le don de Qâ;Jean-Marc PASQUET;;;Le Livre de Poche;10/02/2018;
Le fleuve anaconda;Georges TANZY;;;La pensée universelle;28/02/2018;
Le gang des mégères inapprivoisées;Tom SHARPE;;;43374;21/02/2018;
Le géant des sables;Greta VAILLANT;;;Le Livre de Poche;28/02/2018;
Le livre du cercle;Robyn YOUNG;;;Pocket;28/02/2018;
Le mercenaire du diable;Paul-Loup SULITZER;;;Le Livre de Poche;28/02/2018;
Le monde perdu de Joey Madden;David PAYNE;;;Le Livre de Poche;16/02/2018;
Le musée de l'innocence;Orhan PAMUK;;;Folio;10/02/2018;
Le mystère Giotto;Iain PEARS;;;43374;16/02/2018;
Le pacte;Jodi PICOULT;;;J'ai Lu;16/02/2018;
Le paradis des chevaux;Jane SMILEY;;;Rivages;21/02/2018;
Le peintre de batailles;Arturo PEREZ-REVERTE;;;Points;16/02/2018;
Le royaume des voix;Antonio Muñoz Molina;;;Points;09/02/2018;
Le royaume interdit;Rose TREMAIN;;;Le Livre de Poche;28/02/2018;
Le sang versé;Asa LARSSON;Policier;;Le Livre de Poche;09/12/2020;
Le septième papyrus;Wilbur SMITH;;;Pocket;21/02/2018;
Le soulèvement des âmes;Madison SMARTT BELL;;;Babel;21/02/2018;
L'éclat de Dieu;Romain SARDOU;;;Pocket;21/02/2018;
L'ennemi sans visage;Stanislas-André STEEMAN;;;Le Livre de Poche;28/02/2018;
Les amants de Brignais;Pierre NAUDIN;;;Pocket;09/02/2018;
Les démons de Barton house;Minette WALTERS;;;Pocket;28/02/2018;
